dev_os;temp;title;cam_vert;timestamp;id;comp_bar;pos_sat;pos_tech;pos_acc;Make and Model;cam_hoz;Azimuth;editor;Pitch;press;OS Version;Roll;Name;Tree type;Tree Species;Take photo;Grid reference;Other Known;geom
;;OBT Tree Survey;;2015-01-06T19:13:29.031Z;_4qhf6wmtu;;;;-1;MOTOROLA XT1068;;-1.632.466.574.655.600;35cf4469-162e-4f6d-8eae-ed886121088d.json;-3.164.609.008.517.740;;5.0.2;1.881.760.829.549.200;BMS Tenzing;Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/BMS Tenzing/1420571525538.jpg'>;;;-4.0731293,52.60187930000001
;;OBT Tree Survey;;2015-01-06T19:16:11.582Z;_ianets4ud;;;;-1;MOTOROLA XT1068;;-2.190.457.034.748.720;35cf4469-162e-4f6d-8eae-ed886121088d.json;-28.361.610.915.216.500;;5.0.2;39.739.436.511.045.800;BMS tenzing (3);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/BMS tenzing (3)/1420571750163.jpg'>;;;-4.072975800000025,52.60164899999976
;;OBT Tree Survey;;2015-05-12T11:25:31.641Z;_igxmi6cze;;;;-1;MOTOROLA XT1068;;6.365.339.472.461.100;35cf4469-162e-4f6d-8eae-ed886121088d.json;-33.627.804.586.059.500;;4.4.4;0.2683623746776058;Kenno king;Deciduous;Larch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Kenno king/1431429886071.jpg'>;Challange wall abeedovey;;-4.006748199999975,52.508213199999894
;;OBT Tree Survey;;2015-05-12T11:26:34.021Z;_cwhnf5b0z;;;;-1;MOTOROLA XT1068;;-9.315.548.842.932.150;35cf4469-162e-4f6d-8eae-ed886121088d.json;-25.942.298.147.042.700;;4.4.4;-35.355.193.578.101.600;kenno king;Coniferous;Larch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/kenno king/1431429974239.jpg'>;Challenge wall;;-4.025042400000024,52.54754420000006
;;OBT Tree Survey;;2015-05-21T12:28:17.470Z;_qn3ezdlzz;;;;-1;MOTOROLA XT1068;;-7.338.509.606.536.940;35cf4469-162e-4f6d-8eae-ed886121088d.json;-37.571.139.171.285.500;;5.0.2;10.751.297.252.462.400;hghs (2);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hghs (2)/1432211261185.jpg'>;Xxxx;;-4.0124163,52.5060935
;;OBT Tree Survey;;2015-05-21T16:32:26.039Z;_q96dmtbor;;;;-1;MOTOROLA XT1068;;14.355.736.676.781.300;35cf4469-162e-4f6d-8eae-ed886121088d.json;-1.738.604.333.413.960;;4.4.4;14.877.489.021.817.800;OB Instructors ;Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/OB Instructors /1432225855267.jpg'>;628 963;;-4.0069368,52.508149299999985
;;OBT Tree Survey;;2015-05-21T16:32:35.752Z;_mn3hpph8a;;;;-1;MOTOROLA XT1068;;5.518.008.402.144.120;35cf4469-162e-4f6d-8eae-ed886121088d.json;-4.233.812.968.361.790;;5.0.2;10.684.913.149.815.200;Tenzing OB;Coniferous;Larch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Tenzing OB/1432225894382.jpg'>;628923;;-4.023414300000001,52.54771290000002
;;OBT Tree Survey;;2015-05-21T16:33:13.424Z;_o24dw0cyc;;;;-1;MOTOROLA XT1068;;-15.954.058.316.153.300;35cf4469-162e-4f6d-8eae-ed886121088d.json;-47.547.699.378.694.200;;5.0.2;0.3139463368267569;Amundsen rock (2);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Amundsen rock (2)/1432225972212.jpg'>;628963;;-4.005385200000007,52.50717820000026
;;OBT Tree Survey;;2015-05-21T16:33:33.582Z;_mi9sjf32z;;;;-1;MOTOROLA XT1068;;39.425.545.776.227.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-5.044.201.594.514.920;;5.0.2;14.125.488.609.293.900;aberdovey (1);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/aberdovey (1)/1432225946618.jpg'>;628963;;-4.005379699999966,52.50717340000024
;;OBT Tree Survey;;2015-05-21T16:33:51.284Z;_ity5jl4ub;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;Ob instructed ;Coniferous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Ob instructed /1432225832444.jpg'>;;;-4.0249242,52.54753449999999
