"dev_os","OS Version","temp","title","cam_vert","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","timestamp","cam_hoz","pos_sat","id","Name","Where is the bog","Take photo","What plants can you see","Grid reference of location","Is the bog wet or dry","If other describe what is","geom"
"","5.0.2","","OBT bogs survey","","","-0.23774047551389657","","-1","MOTOROLA XT1068","","-16.196145833547973","54fad7bd-247c-464c-8a01-fb24e6577028.json","-84.55334328293237","2015-06-21T12:59:51.145Z","","","_k7kvs2sa3","ob (11)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ob (11)/1434891560330.jpg'>","Other","Placeholder","Dry",,"-3.9974111000000287,53.115801100000084"
"","5.0.2","","OBT bogs survey","","","15.1048489438146","","-1","MOTOROLA XT1068","","-19.305164273920447","54fad7bd-247c-464c-8a01-fb24e6577028.json","-118.1662341509392","2015-06-11T13:19:36.813Z","","","_1l57gubzz","ibt","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ibt/1434028733786.jpg'>","Common Rush","731115","Wet",,"-3.878160300000014,52.68662710000012"
"","5.0.2","","OBT bogs survey","","","2.061757487765464","","-1","MOTOROLA XT1068","","-7.064065092477742","54fad7bd-247c-464c-8a01-fb24e6577028.json","90.27847614712876","2015-06-01T00:39:08.165Z","","","_0qxeqizb8","obt ha (1)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt ha (1)/1433119095041.jpg'>","Bog cotton","Placeholder","Wet",,"-3.8261855,52.70481510000002"
"","5.0.2","","OBT bogs survey","","","-0.15238204065130015","","-1","MOTOROLA XT1068","","-29.299756180738008","54fad7bd-247c-464c-8a01-fb24e6577028.json","-1.6548011566377643","2015-05-27T12:42:24.855Z","","","_3d3whwsd7","tenzing","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/tenzing/1432730506132.jpg'>","Star moss","Placeholder","Dry",,"-3.9580244000000193,52.69266600000006"
"","5.0.2","","OBT bogs survey","","","5.862503336330977","","-1","MOTOROLA XT1068","","-23.626121235336225","54fad7bd-247c-464c-8a01-fb24e6577028.json","-179.0102832774648","2015-06-18T11:40:38.577Z","","","_vebtodtwu","McArthur","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/McArthur/1434627614010.jpg'>","Bog cotton","Placeholder","Dry",,"-3.997713600000019,52.58190809999982"
"","5.0.2","","OBT bogs survey","","","0.28864125968422655","","-1","MOTOROLA XT1068","","-35.86364652029572","54fad7bd-247c-464c-8a01-fb24e6577028.json","123.17124651056281","2015-06-21T11:31:33.618Z","","","_l8ct2mqte","Andy (73)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (73)/1434886285267.jpg'>","Other","Placeholder","Wet",,"-3.995063200000044,53.11870479999996"
"","4.4.2","","OBT bogs survey","","",,"","-1","SAMSUNG SM-T230","",,"54fad7bd-247c-464c-8a01-fb24e6577028.json",,"2015-06-02T14:22:30.657Z","","","_7zhgdfop0","BMS Tenzing (4)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/BMS Tenzing (4)/1433254925766.jpg'>","Other","Placeholder","Dry",,"-4.07340079999999,52.601067000000185"
"","5.0.2","","OBT bogs survey","","","16.205998381425715","","-1","MOTOROLA XT1068","","-33.98301198894065","54fad7bd-247c-464c-8a01-fb24e6577028.json","83.76444277341756","2015-07-15T15:29:30.870Z","","","_z1z546cl9","Simpson (34)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (34)/1436974123658.jpg'>","Sphagnum moss","Placeholder","Wet",,"-4.044484900000034,52.68161620000005"
"","5.0.2","","OBT bogs survey","","","1.6547511041577527","","-1","MOTOROLA XT1068","","-22.88198920073626","54fad7bd-247c-464c-8a01-fb24e6577028.json","83.81904330564264","2015-07-15T16:04:20.898Z","","","_6jhutqnm3","Simpson (28)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (28)/1436976236866.jpg'>","Star moss","Placeholder","Wet",,"-4.0401516999999725,52.68040359999996"
"","5.0.2","","OBT bogs survey","","","-1.6135390233663651","","-1","MOTOROLA XT1068","","-64.90547768250111","54fad7bd-247c-464c-8a01-fb24e6577028.json","145.31413240347553","2015-06-21T11:36:03.382Z","","","_ocwjvn77a","Andy (68)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (68)/1434886554759.jpg'>","Other","Placeholder","Dry",,"-3.9959956999999964,53.11955039999981"
