"dev_os","OS Version","temp","title","timestamp","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","cam_vert","cam_hoz","pos_sat","id","Name","What is your name?","Have you seen a butterfly?","If you can, take a photo of the butterfly you have seen.","How many of this butterfly did you see?","Can you see any of these plants within 5 metres (a large room) around you? Tick all that you see.","What did the grasses look like?","Would you like to record more information that would be useful for scientists?","Any other comments?","What was the main colour of the butterfly?","Was it one of these?","What was the butterfly doing?","How would you describe the habitat/area around the butterfly/you? (football pitch area around you)","What kind of urban?","Are you next to a hedgerow?","What type of woodland?","What type of grassland?","What type of farmland?","Was it this butterfly?","geom"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-14T09:48:54.648Z","","9.33839514268693","","6","MOTOROLA XT1068","","-19.109047344734577","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-123.6371063930927","","","","_lysbix15a","Penparcau Survey 2016 - V1-3-14-07-2016 10h48m41s","Chloe test","No","<i>blank</i>","","Grasses","Mown or grazed, short, very green grass","No","",,,,,,,,,,,"-4.072397300000001,52.40078949999999"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-06T11:50:29.443Z","","17.949405874618765","","12","MOTOROLA XT1068","","-21.456682400210923","a0ea0520-3574-4371-b9a3-6af8c208632a.json","107.00539768862572","","","","_w154qb4bj","Penparcau Survey 2016 - V1-3-06-06-2016 12h50m21s","Chloe","Yes","<i>blank</i>","1","Nettle,Ivy,Holly,Lady's smock,Thistle,Dock or sorrel,Grasses",,"Yes",,"Brown","Speckled Wood","Flying","Urban","Built-up areas with green spaces","Yes",,,,,"-4.071689299999979,52.4012148999999"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-22T07:52:27.864Z","","18.624044149508432","","37.5","MOTOROLA XT1068","","-14.174390202430335","a0ea0520-3574-4371-b9a3-6af8c208632a.json","77.77442151282973","","","","_h9ovq9hku","Penparcau Survey 2016 - V1-3-22-07-2016 08h52m22s","CG","No","<i>blank</i>","","Nettle,Ivy,Holly,Lady's smock,Dock or sorrel,Grasses",,"Yes","",,,,"Urban","Parks, playgrounds, allotments or community grasslands","No",,,,,"-4.072404,52.4010951"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T11:06:22.441Z","","-2.353296855411465","","15","MOTOROLA XT1068","","-1.0081680447273222","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-68.85039004142538","","","","_173lf53p6","Penparcau Survey 2016 - V1-3-19-07-2016 12h06m13s","CG","Yes","<i>blank</i>","1","Nettle,Ivy,Grasses",,"No","","Brown","Speckled Wood","Flying",,,,,,,,"-4.077567899999986,52.39898279999993"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-14T11:53:30.390Z","","-3.6829238047223236","","787.35400390625","MOTOROLA XT1068","","-27.818088366729018","a0ea0520-3574-4371-b9a3-6af8c208632a.json","3.9785787882300805","","","","_l5m33cqx3","Penparcau Survey 2016 - V1-3-14-07-2016 12h53m26s","Chloe test","No","<i>blank</i>","","Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.087140899999968,52.40364349999984"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-06T13:21:56.552Z","","9.50493564521935","","2200","MOTOROLA XT1068","","-24.878499598907883","a0ea0520-3574-4371-b9a3-6af8c208632a.json","112.37206173461232","","","","_45bpy45ru","Penparcau Survey 2016 - V1-3-06-06-2016 14h20m53s","Chloe","No","<i>blank</i>","","Dock or sorrel,Grasses",,"Yes",,,,,"Urban","Parks, playgrounds, allotments or community grasslands","Yes",,,,,"-4.068658100000011,52.40482879999995"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-30T15:27:17.704Z","","4.066938384201597","","-1","MOTOROLA XT1068","","-23.493738508843037","a0ea0520-3574-4371-b9a3-6af8c208632a.json","13.861130406336871","","","","_vn6kq1dye","Penparcau Survey 2016 - V1-3-30-06-2016 16h27m07s","CG test","No","<i>blank</i>","","Nettle,Ivy,Holly,Grasses",,"No","",,,,,,,,,,,"-4.0595240125179055,52.40468313784874"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-14T11:24:40.705Z","","6.35419712873597","","13","MOTOROLA XT1068","","-24.090604834748355","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-173.2095812002914","","","","_8zsnw7j47","Penparcau Survey 2016 - V1-3-14-07-2016 12h24m31s","Chloe test","Yes","<i>blank</i>","1","Nettle,Thistle,Grasses",,"No","","Brown","Meadow Brown","Resting,Flying",,,,,,,,"-4.084662700000017,52.40253280000017"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-17T16:10:33.656Z","","1.9580675322018541","","13","MOTOROLA XT1068","","-25.164655496827447","a0ea0520-3574-4371-b9a3-6af8c208632a.json","75.29069835323547","","","","_qnin38mbk","Penparcau Survey 2016 - V1-3-17-06-2016 17h10m00s","Debra","Yes","<br/><a href="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-17-06-2016 17h10m00s/1466179649655.jpg"><img src="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-17-06-2016 17h10m00s/1466179649655_thumb.jpg" style="width:100px;border:0;"></a>","1","Grasses","Overgrown, lots of wild flowers, meadow","Yes","","Brown","Speckled Wood","Resting","Woodland",,"No","Lots of wild flowers, shrubs and plants",,,,"-4.080195800000001,52.399088"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-09T12:53:25.468Z","","-2.143124891017591","","-1","MOTOROLA XT1068","","-15.002913493094038","a0ea0520-3574-4371-b9a3-6af8c208632a.json","37.454592238383036","","","","_ffqlz5zuf","Penparcau Survey 2016 - V1-3-09-06-2016 13h53m11s","Chloe","No","<i>blank</i>","","Nettle,Ivy,Holly,Grasses",,"Yes","",,,,"Urban","Built-up areas with little to no green spaces","No",,,,,"-4.074204550635843,52.40185074091685"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-21T15:32:13.076Z","","1.5911402717569547","","-1","MOTOROLA XT1068","","-19.739810191943377","a0ea0520-3574-4371-b9a3-6af8c208632a.json","84.51310663853182","","","","_dmkjbaef8","Penparcau Survey 2016 - V1-3-21-06-2016 16h32m06s","Chloe new path","No","<i>blank</i>","","Ivy,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.076880872185977,52.39960689016425"
