"dev_os","temp","title","cam_vert","timestamp","id","comp_bar","pos_sat","pos_tech","pos_acc","Make and Model","cam_hoz","Azimuth","editor","Pitch","press","OS Version","Roll","Name","Tree type","Tree Species","Take photo","Grid reference","Other Known","geom"
"","","OBT Tree Survey","","2015-05-30T14:26:19.197Z","_m9qdzxcnj","","","","-1","MOTOROLA XT1068","","-79.64645342092517","35cf4469-162e-4f6d-8eae-ed886121088d.json","-24.529961875751304","","5.0.2","-2.4123647582405585","Hahn","Coniferous","Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn/1432995969611.jpg'>","Xxxx",,"-3.852768400000045,52.62094249999998"
"","","OBT Tree Survey","","2015-06-03T12:27:14.354Z","_95u4gk1af","","","","-1","MOTOROLA XT1068","","-72.57313683721664","35cf4469-162e-4f6d-8eae-ed886121088d.json","-45.91020933650791","","5.0.2","-3.9793826161180266","hahn (42)",,"Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (42)/1433334412579.jpg'>","",,"-3.8526083999999865,52.62078440000002"
"","","OBT Tree Survey","","2015-06-03T12:27:14.354Z","_95u4gk1af","","","","-1","MOTOROLA XT1068","","-72.57313683721664","35cf4469-162e-4f6d-8eae-ed886121088d.json","-45.91020933650791","","5.0.2","-3.9793826161180266","hahn (37)",,"Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (37)/1433334412579.jpg'>","",,"-3.8526083999999865,52.62078440000002"
"","","OBT Tree Survey","","2015-06-01T04:17:13.008Z","_g1jwe0lar","","","","-1","MOTOROLA XT1068","","169.09723358405344","35cf4469-162e-4f6d-8eae-ed886121088d.json","-48.00548597762521","","5.0.2","9.104601182491978","ibt (2)","Coniferous","Other","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ibt (2)/1433132226146.jpg'>","Placeholder","","-3.7993493000000225,52.71697090000009"
"","","OBT Tree Survey","","2015-06-03T12:29:48.974Z","_sqkh3s3a1","","","","-1","MOTOROLA XT1068","","109.32811279891527","35cf4469-162e-4f6d-8eae-ed886121088d.json","-32.990213257228035","","5.0.2","0","hahn (43)",,"Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (43)/1433334561099.jpg'>","",,"-3.8526439999999726,52.620829599999794"
"","","OBT Tree Survey","","2015-06-03T12:40:32.519Z","_ztk57g6y8","","","","-1","MOTOROLA XT1068","","-35.32234036819386","35cf4469-162e-4f6d-8eae-ed886121088d.json","-29.96178251132525","","5.0.2","0.635182139684357","Hahn (53)","Deciduous","Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (53)/1433335225257.jpg'>","",,"-3.8520332999999556,52.62111320000012"
"","","OBT Tree Survey","","2015-06-03T19:19:59.300Z","_nzx3023wh","","","","-1","MOTOROLA XT1068","","-56.50662287147364","35cf4469-162e-4f6d-8eae-ed886121088d.json","-20.279022891064617","","5.0.2","10.283570380411634","Hahn (31)","Deciduous","Sitka spruce","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (31)/1433359158604.jpg'>","Xxxx",,"-3.8868337,52.6388119"
"","","OBT Tree Survey","","2015-07-09T08:51:48.319Z","_ai623o626","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"st Chris bonnington ","Deciduous","Ash","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington /1436431866329.jpg'>","Placeholder","Type species name in here","-2.4219759999999666,53.82556399999977"
"","","OBT Tree Survey","","2015-06-03T12:37:29.905Z","_b4vy24pe8","","","","-1","MOTOROLA XT1068","","-6.905669163643739","35cf4469-162e-4f6d-8eae-ed886121088d.json","-46.680470259777756","","5.0.2","1.7453149302404791","Hahn (60)","Deciduous",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (60)/1433335039517.jpg'>","",,"-3.852142299999974,52.62102899999996"
"","","OBT Tree Survey","","2015-06-03T12:51:51.938Z","_znznydqrn","","","","-1","MOTOROLA XT1068","","-96.06585935542064","35cf4469-162e-4f6d-8eae-ed886121088d.json","-68.1148264791392","","5.0.2","0.3015539190731208","Hahn (38)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (38)/1433335897778.jpg'>","",,"-3.8518304000000176,52.6212400999998"
"","","OBT Tree Survey","","2015-05-30T12:40:37.615Z","_ba89osswf","","","","-1","MOTOROLA XT1068","","-89.97301642706745","35cf4469-162e-4f6d-8eae-ed886121088d.json","-13.16770142726685","","5.0.2","-3.052882823131429","obt (1)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (1)/1432989569448.jpg'>","Xxxx",,"-3.9479243999999576,52.5471659999999"
"","","OBT Tree Survey","","2015-05-30T13:50:56.678Z","_x8mlnw1zk","","","","-1","MOTOROLA XT1068","","88.47124224368923","35cf4469-162e-4f6d-8eae-ed886121088d.json","-38.443327007539494","","5.0.2","6.4898754215036885","Hahn (24)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (24)/1432993821821.jpg'>","Xxxx",,"-3.8526151000000426,52.62139240000018"
"","","OBT Tree Survey","","2015-06-03T12:47:55.456Z","_ch7ctz78h","","","","-1","MOTOROLA XT1068","","-72.6269928788222","35cf4469-162e-4f6d-8eae-ed886121088d.json","-67.06978704555974","","5.0.2","-8.254748918597617","Hahn (47)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (47)/1433335668977.jpg'>","",,"-3.851796700000004,52.62122989999982"
